                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1977,                 0.9371,                 1.2558,                0.82675,                0.80273,                 0.8501,                0.51698,                 1.3326,                0.88885,                 1.3506,               0.008845,               0.008845,               0.008845
                     37,                 1.1914,                0.93263,                 1.2622,                0.84623,                0.80908,                0.87222,                0.52495,                 1.3762,                0.86509,                 1.3855,               0.008812,               0.008812,               0.008812
                     38,                 1.1663,                 0.9006,                 1.2333,                0.82905,                0.80114,                0.85567,                0.51979,                 1.3327,                0.89049,                 1.3466,               0.008779,               0.008779,               0.008779
                     39,                 1.1816,                0.91289,                 1.2458,                0.84503,                0.82593,                0.87225,                 0.5353,                 1.3368,                0.84447,                 1.3544,               0.008746,               0.008746,               0.008746
                     40,                 1.1734,                0.90053,                 1.2402,                0.84183,                0.80288,                0.85724,                 0.5198,                 1.2925,                 0.8806,                 1.3103,               0.008713,               0.008713,               0.008713
                     41,                 1.1641,                0.92725,                 1.2402,                0.84927,                0.79702,                0.86008,                0.53843,                 1.2989,                0.87921,                 1.3116,                0.00868,                0.00868,                0.00868
                     42,                  1.161,                0.88638,                 1.2343,                0.84129,                0.79655,                0.86609,                0.53013,                 1.3173,                0.84013,                 1.3183,               0.008647,               0.008647,               0.008647
                     43,                 1.1638,                0.89109,                 1.2437,                0.84179,                0.80395,                0.86547,                0.53283,                 1.2916,                0.84221,                 1.3066,               0.008614,               0.008614,               0.008614
                     44,                 1.1528,                0.88717,                 1.2295,                0.84584,                 0.8205,                0.86403,                0.52961,                 1.3281,                0.86175,                 1.3528,               0.008581,               0.008581,               0.008581
                     45,                 1.1448,                0.86869,                 1.2213,                 0.8377,                0.82331,                0.87191,                0.53975,                 1.2983,                0.83231,                 1.3099,               0.008548,               0.008548,               0.008548
                     46,                 1.1387,                0.87122,                 1.2176,                0.81841,                0.81878,                0.87005,                0.53712,                 1.2865,                0.84655,                  1.315,               0.008515,               0.008515,               0.008515
                     47,                 1.1462,                0.86565,                 1.2273,                0.80474,                0.79665,                0.85624,                0.52389,                  1.313,                0.86341,                 1.3384,               0.008482,               0.008482,               0.008482
                     48,                 1.1336,                0.85153,                 1.2148,                0.85901,                0.79514,                0.87176,                0.53521,                  1.326,                0.84527,                 1.3307,               0.008449,               0.008449,               0.008449
                     49,                 1.1285,                  0.852,                 1.2075,                0.86074,                0.81311,                0.87517,                0.53501,                 1.2801,                0.83717,                    1.3,               0.008416,               0.008416,               0.008416
                     50,                 1.1416,                0.86022,                 1.2157,                0.86224,                0.82118,                0.87363,                0.53284,                 1.3093,                0.84655,                 1.3156,               0.008383,               0.008383,               0.008383
                     51,                  1.106,                0.85885,                 1.1995,                0.85886,                0.79759,                0.86937,                0.54145,                  1.279,                0.80473,                 1.3036,                0.00835,                0.00835,                0.00835
                     52,                  1.111,                0.83853,                  1.211,                0.85145,                0.83758,                0.87837,                0.52988,                 1.3294,                0.82031,                  1.332,               0.008317,               0.008317,               0.008317
                     53,                 1.1137,                0.83639,                 1.2027,                0.82822,                0.81535,                0.86294,                0.53129,                 1.3014,                 0.8348,                 1.3124,               0.008284,               0.008284,               0.008284
                     54,                 1.1141,                0.84194,                 1.2003,                0.83283,                 0.8353,                0.86344,                0.53103,                 1.3107,                0.82277,                 1.3229,               0.008251,               0.008251,               0.008251
                     55,                 1.1062,                 0.8267,                  1.203,                0.82821,                 0.8379,                0.86878,                0.53491,                 1.2886,                 0.8199,                 1.3045,               0.008218,               0.008218,               0.008218
                     56,                 1.0851,                0.82986,                 1.1844,                0.83325,                0.81529,                0.86041,                0.52274,                 1.3194,                0.83459,                 1.3259,               0.008185,               0.008185,               0.008185
                     57,                 1.0856,                0.81052,                 1.1873,                0.85001,                0.82217,                0.87098,                0.53056,                 1.2937,                0.79593,                 1.3198,               0.008152,               0.008152,               0.008152
                     58,                 1.0917,                0.81277,                 1.1981,                0.84063,                0.82072,                0.86975,                0.55175,                 1.2664,                0.80726,                 1.2972,               0.008119,               0.008119,               0.008119
