                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.86975,                0.58344,                 1.0572,                0.86126,                0.82839,                0.88398,                0.54745,                 1.3123,                0.75199,                 1.3687,               0.005083,               0.005083,               0.005083
                    151,                0.85524,                 0.5778,                   1.04,                0.85804,                0.83681,                0.88167,                 0.5516,                 1.3177,                0.73661,                 1.3714,                0.00505,                0.00505,                0.00505
                    152,                0.84635,                0.56069,                 1.0351,                0.87911,                0.83758,                0.88526,                0.54757,                  1.315,                0.73265,                 1.3647,               0.005017,               0.005017,               0.005017
                    153,                0.84782,                0.56938,                 1.0372,                0.85233,                 0.8509,                0.87545,                0.54348,                 1.3345,                0.73923,                 1.3851,               0.004984,               0.004984,               0.004984
                    154,                0.85495,                0.55974,                  1.041,                0.86143,                0.83741,                0.88003,                0.54607,                 1.3451,                0.72689,                 1.3901,               0.004951,               0.004951,               0.004951
                    155,                 0.8538,                0.56368,                 1.0412,                0.82661,                0.86796,                0.88688,                0.55034,                 1.3468,                0.73097,                 1.3952,               0.004918,               0.004918,               0.004918
                    156,                0.85277,                0.56332,                 1.0451,                0.85481,                 0.8507,                0.88376,                0.54537,                 1.3585,                0.72246,                 1.4077,               0.004885,               0.004885,               0.004885
                    157,                0.84128,                0.56445,                 1.0356,                0.86446,                0.86837,                0.89128,                0.55073,                  1.362,                0.72737,                  1.423,               0.004852,               0.004852,               0.004852
                    158,                 0.8577,                0.57596,                 1.0484,                0.86543,                 0.8526,                0.88467,                0.55163,                 1.3662,                0.72801,                   1.43,               0.004819,               0.004819,               0.004819
                    159,                0.83316,                0.55416,                 1.0398,                0.86642,                0.84672,                0.88983,                0.54949,                 1.3497,                0.72558,                 1.4049,               0.004786,               0.004786,               0.004786
                    160,                0.83797,                0.55481,                  1.032,                0.87011,                0.84984,                0.89215,                0.55525,                 1.3258,                0.72429,                 1.3809,               0.004753,               0.004753,               0.004753
                    161,                0.84608,                0.57918,                 1.0461,                0.88093,                0.84132,                0.89053,                0.54979,                 1.3338,                  0.723,                 1.3896,                0.00472,                0.00472,                0.00472
                    162,                0.82676,                0.54418,                 1.0292,                0.87549,                0.84717,                0.89533,                0.55234,                  1.343,                 0.7183,                 1.4013,               0.004687,               0.004687,               0.004687
                    163,                0.83869,                0.56323,                 1.0332,                0.86588,                0.85697,                0.89817,                0.55681,                 1.3455,                0.70622,                    1.4,               0.004654,               0.004654,               0.004654
                    164,                0.83689,                0.55182,                 1.0381,                0.86276,                0.84893,                0.89263,                0.55858,                 1.3418,                0.71091,                 1.3975,               0.004621,               0.004621,               0.004621
                    165,                0.82375,                 0.5393,                 1.0291,                0.86346,                0.85469,                0.89236,                0.55266,                 1.3543,                0.70204,                 1.4088,               0.004588,               0.004588,               0.004588
                    166,                0.82828,                0.54677,                 1.0259,                0.87599,                0.85356,                0.89276,                0.55281,                 1.3615,                 0.7054,                 1.4219,               0.004555,               0.004555,               0.004555
                    167,                0.82607,                0.54504,                 1.0307,                 0.8752,                0.84352,                0.88763,                0.55236,                 1.3342,                0.70777,                 1.3874,               0.004522,               0.004522,               0.004522
                    168,                  0.827,                0.54137,                 1.0306,                0.87732,                0.85183,                0.88539,                0.55025,                 1.3311,                0.71387,                 1.3861,               0.004489,               0.004489,               0.004489
                    169,                0.84154,                0.55719,                 1.0317,                0.87361,                0.84546,                0.88431,                0.55114,                 1.3392,                0.71983,                  1.392,               0.004456,               0.004456,               0.004456
                    170,                0.82607,                0.54437,                 1.0186,                0.87867,                0.85241,                0.88719,                0.55032,                 1.3443,                0.71633,                 1.3967,               0.004423,               0.004423,               0.004423
                    171,                0.83573,                0.56121,                 1.0394,                0.88307,                0.84712,                0.88984,                0.55014,                 1.3531,                0.71367,                 1.4058,                0.00439,                0.00439,                0.00439
                    172,                0.81807,                0.53661,                 1.0216,                0.87653,                0.84136,                0.88696,                0.55196,                 1.3547,                0.71242,                 1.4141,               0.004357,               0.004357,               0.004357
                    173,                0.81571,                0.53632,                 1.0254,                0.86823,                0.84096,                0.88436,                0.55134,                 1.3449,                0.71506,                 1.4111,               0.004324,               0.004324,               0.004324
                    174,                0.81459,                0.53682,                 1.0222,                0.85967,                0.85983,                0.89058,                0.56118,                 1.3608,                0.70067,                 1.4267,               0.004291,               0.004291,               0.004291
                    175,                0.81181,                0.53481,                 1.0183,                0.85223,                0.86492,                0.89343,                 0.5628,                 1.3401,                0.69683,                 1.4059,               0.004258,               0.004258,               0.004258
                    176,                0.83329,                0.54877,                 1.0281,                0.87832,                0.83543,                0.89181,                0.56417,                 1.3422,                 0.6953,                 1.4063,               0.004225,               0.004225,               0.004225
                    177,                0.80236,                0.53651,                 1.0185,                0.88176,                 0.8303,                0.88907,                0.56108,                 1.3434,                0.69557,                 1.4099,               0.004192,               0.004192,               0.004192
                    178,                0.80109,                0.52644,                 1.0126,                0.86346,                0.83703,                0.88581,                0.55941,                 1.3453,                0.70077,                  1.418,               0.004159,               0.004159,               0.004159
                    179,                0.80628,                0.52691,                 1.0192,                0.86483,                0.85188,                0.88514,                0.56104,                 1.3493,                0.70276,                 1.4256,               0.004126,               0.004126,               0.004126
                    180,                0.81824,                0.53394,                 1.0199,                0.86209,                0.85186,                0.88742,                0.55604,                   1.35,                0.70039,                 1.4319,               0.004093,               0.004093,               0.004093
                    181,                0.80686,                0.53296,                 1.0232,                 0.8716,                0.83956,                0.88795,                0.55448,                  1.344,                0.70255,                  1.427,                0.00406,                0.00406,                0.00406
                    182,                0.80476,                 0.5317,                 1.0212,                0.87984,                0.84272,                0.88839,                0.55684,                 1.3417,                0.69988,                 1.4305,               0.004027,               0.004027,               0.004027
                    183,                0.80783,                0.52888,                 1.0182,                0.87556,                0.83714,                 0.8859,                0.55786,                  1.348,                0.70536,                 1.4415,               0.003994,               0.003994,               0.003994
                    184,                0.79884,                0.52408,                 1.0143,                0.87746,                0.84041,                0.89017,                0.55533,                  1.387,                0.70016,                 1.4808,               0.003961,               0.003961,               0.003961
                    185,                0.79587,                0.52488,                  1.009,                0.85558,                0.85139,                0.88637,                0.55075,                 1.3647,                0.69979,                 1.4623,               0.003928,               0.003928,               0.003928
                    186,                0.79905,                0.51947,                 1.0122,                0.87887,                0.84482,                0.88809,                0.54968,                 1.3837,                    0.7,                 1.4842,               0.003895,               0.003895,               0.003895
                    187,                0.79404,                0.51232,                 1.0095,                0.88246,                0.83873,                0.88615,                0.54806,                 1.3834,                0.70215,                 1.4907,               0.003862,               0.003862,               0.003862
                    188,                0.80226,                0.52432,                 1.0111,                0.88803,                0.83333,                0.88337,                0.54433,                 1.3734,                0.71271,                 1.4858,               0.003829,               0.003829,               0.003829
                    189,                0.79377,                0.52548,                 1.0143,                 0.8866,                0.83489,                0.88315,                0.54705,                 1.3692,                0.71705,                  1.481,               0.003796,               0.003796,               0.003796
                    190,                0.79361,                0.51265,                 1.0169,                0.88306,                0.84342,                0.88482,                0.54843,                  1.366,                0.71673,                 1.4758,               0.003763,               0.003763,               0.003763
                    191,                0.78664,                0.50857,                  1.005,                0.88265,                0.84366,                0.88306,                0.54341,                  1.372,                 0.7206,                 1.4759,                0.00373,                0.00373,                0.00373
                    192,                0.78245,                0.50956,                 1.0038,                0.87673,                0.83483,                0.87738,                0.54533,                 1.3751,                0.72139,                 1.4747,               0.003697,               0.003697,               0.003697
                    193,                0.80297,                0.50797,                 1.0205,                0.87915,                0.83554,                0.87952,                0.54582,                 1.3759,                0.71925,                 1.4747,               0.003664,               0.003664,               0.003664
                    194,                0.78792,                0.51455,                  1.007,                0.86673,                0.84179,                 0.8804,                0.54772,                  1.368,                0.72102,                 1.4609,               0.003631,               0.003631,               0.003631
                    195,                0.76604,                0.49656,                 1.0003,                0.86763,                0.84729,                0.88055,                0.54915,                 1.3663,                0.72625,                 1.4524,               0.003598,               0.003598,               0.003598
                    196,                0.78271,                0.50783,                 1.0045,                0.86728,                0.85128,                0.88138,                0.54669,                   1.37,                0.72056,                 1.4553,               0.003565,               0.003565,               0.003565
                    197,                0.79257,                0.51703,                  1.013,                0.87994,                0.83703,                0.87953,                0.54594,                 1.3749,                 0.7121,                 1.4639,               0.003532,               0.003532,               0.003532
                    198,                0.76966,                0.50523,                 1.0019,                0.86098,                 0.8568,                0.88197,                0.54533,                 1.3828,                0.71122,                 1.4744,               0.003499,               0.003499,               0.003499
                    199,                0.77234,                0.49553,                0.99609,                0.88379,                0.82838,                0.88291,                0.54797,                  1.387,                0.71341,                  1.477,               0.003466,               0.003466,               0.003466
                    200,                0.78364,                0.50139,                 1.0096,                 0.8467,                0.86187,                0.88175,                0.54758,                 1.3879,                0.71703,                 1.4787,               0.003433,               0.003433,               0.003433
                    201,                0.76855,                0.49936,                 1.0016,                0.86135,                0.85128,                0.88443,                 0.5474,                 1.3885,                0.71454,                 1.4791,                 0.0034,                 0.0034,                 0.0034
                    202,                0.76826,                0.49877,                0.99868,                0.86824,                0.84844,                0.88071,                0.54837,                 1.3871,                0.70944,                 1.4794,               0.003367,               0.003367,               0.003367
                    203,                0.76278,                0.49993,                 1.0024,                0.86533,                0.84957,                 0.8805,                0.54965,                   1.38,                0.71151,                 1.4748,               0.003334,               0.003334,               0.003334
                    204,                0.76207,                0.49135,                0.99623,                0.86996,                0.84445,                 0.8811,                0.54759,                 1.3803,                0.71162,                 1.4743,               0.003301,               0.003301,               0.003301
                    205,                0.76324,                0.49144,                0.99518,                0.87079,                0.84674,                0.87945,                0.54751,                 1.3747,                0.71246,                 1.4695,               0.003268,               0.003268,               0.003268
                    206,                0.76961,                0.49433,                 1.0018,                0.86935,                0.85117,                0.88012,                0.55026,                 1.3541,                0.70858,                  1.449,               0.003235,               0.003235,               0.003235
                    207,                0.76502,                0.49426,                 0.9965,                0.87348,                0.84217,                  0.881,                0.55036,                 1.3549,                0.70651,                  1.451,               0.003202,               0.003202,               0.003202
                    208,                0.76162,                0.48941,                0.99498,                0.87309,                0.84673,                0.88204,                0.55011,                 1.3473,                0.70489,                 1.4411,               0.003169,               0.003169,               0.003169
                    209,                0.75867,                0.49028,                0.98996,                0.86726,                0.84173,                0.88282,                0.55067,                  1.348,                 0.7056,                 1.4432,               0.003136,               0.003136,               0.003136
                    210,                0.74383,                 0.4895,                0.98074,                0.88608,                0.82929,                0.87975,                0.55092,                 1.3479,                0.70474,                 1.4425,               0.003103,               0.003103,               0.003103
                    211,                0.75273,                0.48661,                0.99204,                0.88673,                0.83001,                0.87894,                0.54768,                  1.354,                0.70349,                 1.4449,                0.00307,                0.00307,                0.00307
                    212,                0.74274,                0.48046,                 0.9897,                0.88495,                0.82718,                0.87866,                0.54833,                 1.3501,                0.70595,                 1.4392,               0.003037,               0.003037,               0.003037
                    213,                0.74958,                0.48429,                0.99361,                 0.8911,                0.82619,                0.87984,                0.54855,                 1.3495,                0.70676,                 1.4404,               0.003004,               0.003004,               0.003004
                    214,                0.75422,                0.48751,                0.99376,                0.88852,                0.82676,                0.87872,                0.55135,                 1.3464,                0.70748,                 1.4376,               0.002971,               0.002971,               0.002971
                    215,                0.74354,                0.48171,                0.99093,                0.88762,                0.82847,                0.88138,                0.55243,                 1.3459,                0.70624,                 1.4368,               0.002938,               0.002938,               0.002938
                    216,                0.74193,                0.47676,                0.98514,                0.89208,                0.82366,                0.88033,                0.55142,                  1.347,                 0.7039,                 1.4388,               0.002905,               0.002905,               0.002905
                    217,                0.74293,                0.48179,                0.99013,                0.88674,                0.83075,                0.87895,                0.54988,                 1.3468,                0.70306,                 1.4399,               0.002872,               0.002872,               0.002872
                    218,                0.74059,                0.47414,                0.99135,                 0.8873,                0.83304,                 0.8787,                 0.5505,                   1.35,                0.70507,                 1.4411,               0.002839,               0.002839,               0.002839
                    219,                0.73726,                0.47517,                 0.9872,                0.88647,                0.83403,                 0.8801,                0.55049,                 1.3501,                0.70457,                 1.4403,               0.002806,               0.002806,               0.002806
                    220,                0.75279,                0.48723,                0.99018,                0.88728,                0.83432,                0.87821,                0.54993,                 1.3486,                0.71212,                  1.438,               0.002773,               0.002773,               0.002773
                    221,                0.75074,                0.48187,                0.99611,                0.88111,                0.83246,                 0.8762,                0.54984,                 1.3405,                0.72099,                 1.4338,                0.00274,                0.00274,                0.00274
                    222,                0.74115,                 0.4729,                 0.9853,                0.88165,                0.83246,                0.87637,                0.54963,                 1.3403,                0.71617,                 1.4346,               0.002707,               0.002707,               0.002707
                    223,                0.74827,                0.48329,                0.98965,                0.87805,                0.83168,                0.87479,                0.54839,                 1.3398,                0.71773,                 1.4339,               0.002674,               0.002674,               0.002674
                    224,                0.72128,                0.46293,                0.98139,                0.87738,                0.83252,                0.87469,                0.54768,                 1.3417,                0.71467,                 1.4346,               0.002641,               0.002641,               0.002641
                    225,                0.73302,                0.46873,                0.98479,                0.88089,                 0.8321,                0.87463,                0.54738,                 1.3442,                0.71766,                 1.4389,               0.002608,               0.002608,               0.002608
                    226,                 0.7279,                0.46857,                0.98169,                 0.8825,                0.83379,                0.87638,                0.54743,                 1.3449,                0.71917,                   1.44,               0.002575,               0.002575,               0.002575
                    227,                0.72986,                0.47664,                0.98155,                0.87924,                0.83456,                0.87716,                0.54775,                 1.3459,                0.71405,                 1.4403,               0.002542,               0.002542,               0.002542
                    228,                 0.7207,                 0.4564,                0.97886,                0.87863,                0.83761,                0.87914,                 0.5478,                 1.3461,                0.71362,                 1.4414,               0.002509,               0.002509,               0.002509
                    229,                 0.7152,                0.46779,                0.97846,                 0.8825,                0.83417,                0.87851,                0.54749,                 1.3464,                0.71042,                 1.4426,               0.002476,               0.002476,               0.002476
                    230,                0.72028,                 0.4674,                0.98035,                0.88444,                0.83417,                0.87819,                0.54852,                 1.3447,                0.71234,                 1.4402,               0.002443,               0.002443,               0.002443
                    231,                0.72399,                0.47006,                0.98032,                0.88643,                0.83339,                  0.878,                0.54766,                 1.3455,                0.71326,                 1.4401,                0.00241,                0.00241,                0.00241
                    232,                0.72083,                0.45883,                  0.976,                0.88447,                0.83286,                0.87712,                0.54389,                 1.3462,                0.71605,                 1.4414,               0.002377,               0.002377,               0.002377
                    233,                0.71933,                0.45935,                0.97386,                0.88399,                0.83227,                0.87641,                0.54425,                 1.3444,                0.71419,                 1.4388,               0.002344,               0.002344,               0.002344
                    234,                0.71751,                0.45712,                 0.9745,                0.88029,                0.83304,                0.87493,                0.54444,                 1.3444,                0.71736,                  1.437,               0.002311,               0.002311,               0.002311
                    235,                0.72188,                 0.4627,                0.98028,                0.88495,                0.83364,                0.87525,                0.54356,                 1.3468,                  0.716,                 1.4387,               0.002278,               0.002278,               0.002278
                    236,                0.73042,                0.46572,                0.98014,                0.88141,                0.82729,                 0.8738,                0.54336,                 1.3481,                0.71768,                 1.4421,               0.002245,               0.002245,               0.002245
                    237,                0.72614,                 0.4589,                0.97631,                0.88766,                0.82214,                0.87306,                0.54346,                 1.3457,                0.71895,                 1.4404,               0.002212,               0.002212,               0.002212
                    238,                0.71027,                0.45293,                0.97641,                0.89007,                0.81992,                0.87198,                0.54403,                 1.3462,                0.71873,                 1.4405,               0.002179,               0.002179,               0.002179
                    239,                0.71137,                0.45169,                0.97412,                0.88937,                0.83018,                0.87215,                0.54315,                 1.3481,                0.71974,                 1.4433,               0.002146,               0.002146,               0.002146
                    240,                0.71449,                0.46648,                0.97643,                0.89278,                0.81992,                0.87211,                0.54263,                 1.3725,                0.71759,                 1.4737,               0.002113,               0.002113,               0.002113
                    241,                0.70763,                0.44377,                0.96644,                0.88893,                0.82847,                0.87126,                0.54118,                  1.375,                0.71883,                 1.4755,                0.00208,                0.00208,                0.00208
                    242,                0.69919,                0.44248,                0.97175,                0.89516,                0.82493,                0.87212,                0.54214,                 1.3755,                0.71826,                 1.4762,               0.002047,               0.002047,               0.002047
                    243,                0.70306,                0.44778,                0.97342,                 0.8835,                0.83018,                0.87153,                0.53904,                 1.3779,                0.71981,                 1.4795,               0.002014,               0.002014,               0.002014
                    244,                0.69563,                0.44565,                0.96496,                0.89392,                 0.8199,                0.87005,                0.53719,                 1.3776,                0.72017,                 1.4788,               0.001981,               0.001981,               0.001981
                    245,                0.69864,                0.44751,                0.97436,                0.88121,                0.82676,                 0.8665,                0.53782,                 1.3796,                0.71904,                 1.4796,               0.001948,               0.001948,               0.001948
                    246,                0.69666,                0.44703,                0.96381,                0.88793,                0.81963,                0.86596,                0.53749,                 1.3777,                0.71905,                 1.4788,               0.001915,               0.001915,               0.001915
                    247,                0.70246,                0.44422,                0.96867,                0.88145,                0.82716,                0.86574,                0.53655,                 1.3811,                0.71744,                 1.4825,               0.001882,               0.001882,               0.001882
                    248,                0.69068,                 0.4487,                0.96446,                0.85648,                0.85018,                0.86626,                0.53727,                 1.3815,                 0.7175,                  1.483,               0.001849,               0.001849,               0.001849
                    249,                0.68841,                0.44111,                0.96323,                0.85869,                0.85165,                0.86579,                0.53666,                 1.3828,                0.72006,                 1.4848,               0.001816,               0.001816,               0.001816
                    250,                0.70155,                0.44211,                0.96365,                0.85522,                0.85013,                0.86401,                0.53569,                 1.3814,                0.72089,                 1.4823,               0.001783,               0.001783,               0.001783
                    251,                 0.6952,                0.43238,                0.96286,                0.85169,                0.84914,                0.86341,                0.53473,                 1.3811,                0.72166,                 1.4826,                0.00175,                0.00175,                0.00175
                    252,                0.69236,                0.44006,                 0.9623,                0.84947,                0.85183,                0.86341,                0.53402,                 1.3828,                0.72218,                 1.4853,               0.001717,               0.001717,               0.001717
                    253,                0.69522,                0.44147,                0.96278,                0.85542,                0.84929,                0.86326,                0.53357,                 1.3833,                0.72192,                 1.4879,               0.001684,               0.001684,               0.001684
                    254,                0.69661,                0.44685,                 0.9658,                0.85121,                0.84955,                0.86307,                0.53399,                 1.3848,                0.72279,                  1.489,               0.001651,               0.001651,               0.001651
                    255,                0.68201,                0.43259,                0.95992,                0.85249,                0.84955,                0.86344,                0.53411,                 1.3855,                0.72441,                 1.4898,               0.001618,               0.001618,               0.001618
                    256,                0.68283,                0.42894,                0.96063,                0.85328,                0.85195,                0.86407,                0.53445,                 1.3862,                 0.7261,                 1.4896,               0.001585,               0.001585,               0.001585
                    257,                0.68813,                0.42832,                0.96238,                0.85167,                0.85176,                0.86359,                0.53476,                 1.3884,                0.72787,                 1.4919,               0.001552,               0.001552,               0.001552
                    258,                 0.6846,                0.43135,                0.96455,                0.85175,                0.84727,                0.86319,                0.53505,                 1.3877,                0.72933,                 1.4917,               0.001519,               0.001519,               0.001519
                    259,                0.67844,                0.43319,                0.96201,                0.85752,                0.84504,                0.86313,                0.53475,                 1.3868,                0.72957,                 1.4911,               0.001486,               0.001486,               0.001486
                    260,                0.68107,                0.43311,                0.95821,                0.86016,                0.84134,                0.86317,                0.53395,                  1.387,                0.72881,                 1.4922,               0.001453,               0.001453,               0.001453
                    261,                0.68116,                0.43001,                0.95834,                0.84909,                0.84484,                0.86265,                0.53267,                 1.3882,                0.72768,                 1.4931,                0.00142,                0.00142,                0.00142
                    262,                 0.6803,                0.42571,                0.95819,                0.84932,                0.84414,                0.86232,                0.53261,                 1.3871,                 0.7281,                 1.4928,               0.001387,               0.001387,               0.001387
                    263,                0.67118,                0.42693,                0.95586,                0.85207,                0.84606,                0.86271,                0.53318,                 1.3851,                0.72699,                 1.4906,               0.001354,               0.001354,               0.001354
                    264,                0.67255,                0.42305,                0.95887,                0.85409,                0.84778,                0.86224,                0.53274,                 1.3851,                0.72714,                 1.4924,               0.001321,               0.001321,               0.001321
                    265,                0.67137,                0.42759,                0.95526,                0.85244,                0.85013,                0.86266,                0.53189,                  1.387,                0.72568,                 1.4941,               0.001288,               0.001288,               0.001288
                    266,                0.68126,                0.43387,                0.95794,                0.85388,                0.85298,                 0.8638,                0.53181,                 1.3864,                0.72711,                 1.4943,               0.001255,               0.001255,               0.001255
                    267,                0.67655,                 0.4371,                0.96709,                0.88313,                0.82448,                0.86432,                 0.5316,                 1.3885,                0.72819,                 1.4962,               0.001222,               0.001222,               0.001222
                    268,                0.66741,                0.42679,                0.95391,                0.88241,                0.82448,                0.86445,                0.53167,                 1.3886,                0.72506,                 1.4956,               0.001189,               0.001189,               0.001189
                    269,                0.66371,                 0.4265,                0.95603,                 0.8894,                0.82193,                0.86503,                0.53221,                 1.3892,                0.72278,                 1.4963,               0.001156,               0.001156,               0.001156
                    270,                 0.6685,                0.42398,                0.95733,                0.89021,                0.82162,                0.86525,                0.53298,                 1.3901,                0.72496,                  1.498,               0.001123,               0.001123,               0.001123
                    271,                0.66232,                 0.4219,                0.95116,                0.88526,                0.82584,                0.86494,                0.53338,                 1.3911,                0.72587,                 1.4998,                0.00109,                0.00109,                0.00109
                    272,                0.65625,                0.41357,                0.94313,                0.85775,                0.84876,                0.86424,                0.53177,                 1.3913,                0.72745,                 1.5004,               0.001057,               0.001057,               0.001057
                    273,                 0.6763,                0.42209,                0.97089,                0.85779,                0.84905,                0.86416,                0.53101,                 1.3917,                0.72762,                 1.5011,               0.001024,               0.001024,               0.001024
                    274,                0.65046,                0.41566,                0.94582,                0.85782,                0.84924,                0.86411,                0.53128,                 1.3908,                0.72783,                 1.5012,               0.000991,               0.000991,               0.000991
                    275,                0.66137,                0.41703,                0.95264,                0.85784,                 0.8494,                0.86393,                0.53105,                 1.3901,                0.72853,                  1.501,               0.000958,               0.000958,               0.000958
                    276,                0.65389,                0.41421,                 0.9518,                0.86131,                0.84614,                0.86403,                0.53127,                 1.3906,                0.72791,                 1.5028,               0.000925,               0.000925,               0.000925
